Suburb,Street Code,latitude,longitude
Bergvliet,7945,-34.0458,18.4541
Bishopscourt,7708,-33.9902,18.4458
Claremont,7708,-33.9805,18.4652
Constantia,7806,-34.0313,18.4183
Lansdowne,7780,-33.9858,18.5002
Diep River,7945,-34.0341,18.4644
Harfield Village,7708,-33.986,18.476
Heathfield,7945,-34.0486,18.4686
Kenilworth,7708,-33.9958,18.475
Kenwyn,7780,-33.9988,18.5086
Kirstenhof,7945,-34.0694,18.4543
Kreupelbosch,7806,,
Meadowridge,7806,-34.0333,18.45
Mowbray,7700,-33.9461,18.4761
Ndabeni,7405,-33.9294,18.4922
Newlands,7700,-33.9791,18.45
Observatory,7925,-33.9377,18.4708
Pinelands,7405,-33.9316,18.5128
Plumstead,7800,-34.0222,18.4722
Retreat,7945,-34.055,18.4756
Rondebosch,7700,-33.9633,18.4764
Rondebosch East,7780,-33.9791,18.4983
Rosebank,7700,-33.9555,18.4741
SouthField,7880,,
Steenberg,7945,-34.0667,18.4667
Tokai,7945,-34.0625,18.4417
Wynberg,7800,-34.0042,18.4703
