Neighbourhood,Ward
Bakoven,54
Bantry Bay,54
Bergvliet,73
Bishopscourt,62
Bo-Kaap,77
Camps Bay,54
Claremont,59
Clifton,54
Constantia,62
De Waterkant,115
Devils Peak Estate,77
Diep River,73
Foreshore,115
Fresnaye,54
Gardens,77
Green Point,115
Harfield Village,58
Heathfield,73
Higgovale,77
Hout Bay,74
Imizamo Yethu,74
Kenilworth,58
Kenwyn,60
Kirstenhof,71
Lansdowne,60
Llandudno,74
Meadowridge,73
Mouille Point,115
Mowbray,57
Ndabeni,53
Newlands,59
Observatory,57
Oranjezicht,77
Pinelands,53
Plumstead,73
Retreat,110
Rondebosch,59
Rondebosch East,60
Rosebank,57
Salt River,115
Sea Point,54
Steenberg,68
Tamboerskloof,77
Three Anchor Bay,115
Tokai,71
University Estate,57
Vredehoek,77
Walmer Estate,57
Woodstock,115
Wynberg,62
Zonnebloem,77
